MATRICULA;NOME;CARGO;CLASSE_CARGO;SETOR;NIVEL_CARGO;INFO_CARGO;ATIVIDADE;COD_ORG_LOTACAO;ORG_LOTACAO;COD_TIPO_VINCULO;TIPO_VINCULO;SITUACAO_VINCULO;REGIME_JURIDICO;JORNADA_DE_TRABALHO;DATA_INGRESSO;DATA FIM;UF_EXERCICIO;COD STATUS;STATUS;GENERO;SALARIO BASE;ADICIONAIS
7932727899; LAURENTINO FERREIRA;TEC EM SEGURANCA DO TRABALHO;D;Serviços;3;0;Sem informação;26262;Centro Estudantil de São Paulo;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;20/12/2012;;SP;1;Ativo;Masc.;4153.96;712.18
8471520499; SUELI BRAGA DELGADO;QUIMICO;E;Pedagógico;2;0;Sem informação;26231;Centro Estudantil de Alagoas;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;14/01/2015;;AL;1;Ativo;Feminino;9364.71;685.11
7671435299; ADILSON DE CARVALHO;NUTRICIONISTA;E;Saúde;3;0;Sem informação;26262;Centro Estudantil de São Paulo;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;16/09/2014;;SP;1;Ativo;Masculino;10846.2;793.63
7582511899; ROZARIO DE MEIRELES;PEDAGOGO;E;Pedagógico;2;0;Sem informação;26440;Centro Estudantil da Fronteira Sul;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;22/03/2017;;SC;1;Ativo;Feminino;7103.91;458
7941601199; GUIMARAES DE ARAUJO;PEDAGOGO;E;Pedagógico;1;0;Sem informação;26255;Centro Estudantil dos Vales do Jequiti;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;03/07/2015;;MG;1;Ativo;Masc.;7103.91;581.6
7960842599; DE MELO VASCONCELOS;NUTRICIONISTA;E;Saúde;3;0;Sem informação;26245;Centro Estudantil do Rio de Janeiro;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;21/02/2013;;RJ;1;Ativo;Feminino;7948.71;1100
8290692499; FURTADO VASCONCELOS;PSICOLOGO;E;Saúde;2;0;Sem informação;26246;Centro Estudantil de Santa Catarina;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;20/06/2014;;SC;1;Ativo;Masculino;8306.11;563.79
8111158399; RODRIGUES DE ARAUJO;PEDAGOGO;E;Pedagógico;2;0;Sem informação;26231;Centro Estudantil de Alagoas;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;06/05/2013;;AL;1;Ativo;Feminino;8630.04;458
7991239199; SERRAO DA CONCEICAO;PEDAGOGO;E;Pedagógico;1;0;Sem informação;26239;Centro Estudantil do Pará;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;27/11/2014;;PA;1;Ativo;Masculino;7405.44;574.38
7282401199; MALAQUIAS DAMASCENO;PEDAGOGO;E;Pedagógico;2;0;Sem informação;26440;Centro Estudantil da Fronteira Sul;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;05/12/2011;;SC;1;Ativo;Masc.;7668.81;1203.58
8032782699; HENRY STRUGO ARRUDA;PSICOLOGO;E;Saúde;2;0;Sem informação;26237;Centro Estudantil de Juiz de Fora;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;25/06/2015;;MG;1;Ativo;Masc.;7103.91;1542.21
7351921499; NASCIMENTO DO CARMO;PEDAGOGO;E;Pedagógico;1;0;Sem informação;26233;Centro Estudantil do Ceará;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;01/07/2016;;CE;1;Ativo;Masc.;7694.25;577.28
8611436199; DAVID PIRES DE LIMA;PEDAGOGO;E;Pedagógico;3;0;Sem informação;26280;Centro Estudantil de São Carlos;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;13/12/2010;;SP;1;Ativo;Feminino;10909.9;676.98
8161758599; PEREIRA NETTO SALIM;AUDITOR;E;Administrativo;2;0;Sem informação;26254;Centro Estudantil do Triângulo Mineiro;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;14/09/2006;;MG;1;Ativo;Feminino;8601.52;690.76
8630923399; BENEDITO DE ALMEIDA;PSICOLOGO;E;Saúde;2;0;Sem informação;26276;Centro Estudantil de Mato Grosso;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;25/04/2018;;MT;1;Ativo;Masculino;6333.6;458
8110756299; DE ARAUJO VILA NOVA;NUTRICIONISTA;E;Saúde;2;0;Sem informação;26254;Centro Estudantil do Triângulo Mineiro;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;29/12/1994;;MG;1;Ativo;Masc.;15265.97;678.84
8222152499; GOMES DO NASCIMENTO;PSICOLOGO;E;Saúde;2;0;Sem informação;26243;Centro Estudantil do Rio Grande do Norte;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;07/05/2018;;RN;1;Ativo;Feminino;7127.47;1002.58
8621481599; LESSA FONSECA RAMOS;PEDAGOGO;E;Pedagógico;3;0;Sem informação;26258;Centro Tecnológica Federal do Paraná;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;19/01/2011;;PR;1;Ativo;Feminino;9316.32;991.29
7452138599; LUIS CAPELINI FARIA;ESTATISTICO;E;Administrativo;1;0;Sem informação;26262;Centro Estudantil de São Paulo;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;04/03/2011;;SP;1;Ativo;Masc.;10323.4;458
8431109799; SILVA DO NASCIMENTO;NUTRICIONISTA;E;Saúde;1;0;Sem informação;26243;Centro Estudantil do Rio Grande do Norte;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;05/01/2010;;RN;1;Ativo;Feminino;9929.23;568.73
7480745099; FERREIRA DOS SANTOS;PEDAGOGO;E;Pedagógico;1;0;Sem informação;26258;Centro Tecnológica Federal do Paraná;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;07/12/1993;07/02/2018;PR;2;Desligado;Masculino;11433.1;0
7372283199; BELMONTE DOS SANTOS;PEDAGOGO;E;Pedagógico;2;0;Sem informação;26258;Centro Tecnológica Federal do Paraná;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;03/08/2016;;PR;1;Ativo;Feminino;7994.33;563.08
7461040299; FIGUEIREDO DA SILVA;PEDAGOGO;E;Pedagógico;1;0;Sem informação;26245;Centro Estudantil do Rio de Janeiro;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;22/01/2009;;RJ;1;Ativo;Feminino;9316.32;665.85
7590910599; CIESLAK EVANGELISTA;NUTRICIONISTA;E;Saúde;1;0;Sem informação;26239;Centro Estudantil do Pará;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;28/03/2016;;PA;1;Ativo;Masc.;6837.25;569.43
8342195599; GONCALVES DE AMORIM;NUTRICIONISTA;E;Saúde;2;0;Sem informação;26239;Centro Estudantil do Pará;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;27/03/2012;;PA;1;Ativo;Masc.;8852.56;575.42
7972785799; RICARDO CUELLO SENA;QUIMICO;E;Pedagógico;2;0;Sem informação;26260;Centro Estudantil de Alfenas;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;28/08/2013;;MG;1;Ativo;Masc.;11338.94;458
8481085699; ALMEIDA DE CARVALHO;PSICOLOGO;E;Saúde;2;0;Sem informação;26262;Centro Estudantil de São Paulo;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;27/04/2010;;DF;1;Ativo;Masculino;10996.86;568.73
8481982199; ALVES DE LIMA ROCHA;PSICOLOGO;E;Saúde;2;0;Sem informação;26255;Centro Estudantil dos Vales do Jequiti;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;11/03/2016;;MG;1;Ativo;Masc.;8278.66;894.92
7562248499; ARAUJO CASTRO LOPES;QUIMICO;E;Pedagógico;2;0;Sem informação;26242;Centro Estudantil de Pernambuco;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;23/02/2011;16/06/2018;PE;3;Desligado;Feminino;24616.2;316.99
8170708899; DE LIMA REIS ARAUJO;PSICOLOGO;E;Saúde;2;0;Sem informação;26283;Centro Estudantil de Mato Grosso do Sul;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;26/12/1994;;MS;1;Ativo;Masc.;17677.34;582.33
8312726299; DE SOUZA GOMES DIAS;PSICOLOGO;E;Saúde;2;0;Sem informação;26239;Centro Estudantil do Pará;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;04/10/2018;;PA;1;Ativo;Masc.;5867.05;458
7911844999; GOMES SERRA PEREIRA;NUTRICIONISTA;E;Saúde;2;0;Sem informação;26246;Centro Estudantil de Santa Catarina;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;21/10/2015;;SC;1;Ativo;Masc.;8520.27;991.29
8362630299; LEMOS DE SOUSA NETO;QUIMICO;E;Pedagógico;3;0;Sem informação;26239;Centro Estudantil do Pará;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;16/10/2014;;PA;1;Ativo;Masc.;7311.25;569.43
7621125599; LUSTOSA ELOI VIEIRA;PSICOLOGO;E;Saúde;1;0;Sem informação;26236;Centro Estudantil Fluminense;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;15/10/2009;;RJ;1;Ativo;Masculino;7967.9;1074.69
8172252799; PEREIRA PINTO HOMEM;PSICOLOGO;E;Saúde;1;0;Sem informação;26239;Centro Estudantil do Pará;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;27/12/2019;;PA;1;Ativo;Masc.;5434.85;458
8041375799; PEREIRA SALLA NUNES;NUTRICIONISTA;E;Saúde;1;0;Sem informação;26243;Centro Estudantil do Rio Grande do Norte;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;12/09/2013;;RN;1;Ativo;Masculino;8630.04;669.58
7791462099; QUEIROZ DE CARVALHO;PEDAGOGO;E;Pedagógico;2;0;Sem informação;26242;Centro Estudantil de Pernambuco;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;05/08/2015;;PE;1;Ativo;Feminino;8630.04;574.38
8511744399; EVANGELISTA MACHADO;ECONOMISTA;E;Administrativo;3;0;Sem informação;26231;Centro Estudantil de Alagoas;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;07/07/1995;02/04/2020;AL;4;Desligado;Feminino;20167.66;0
7331511299; DA SILVA DOS SANTOS;PSICOLOGO;E;Saúde;2;0;Sem informação;26243;Centro Estudantil do Rio Grande do Norte;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;30/12/1994;;RN;1;Ativo;Masc.;11492.18;579.14
7492285899; ANUNCIACAO OLIVEIRA;PEDAGOGO;E;Pedagógico;1;0;Sem informação;26253;Centro Estudantil Rural da Amazônia;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;19/03/2018;;PA;1;Ativo;Masc.;6333.6;534.03
7861427599; LIVIO RIBEIRO ALVES;ENGENHEIRO DE SEG DO TRABALHO;E;Engenharia;2;0;Sem informação;26351;Centro Estudantil do Recôncavo da Bahia;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;03/11/2009;;BA;1;Ativo;Masc.;9316.32;686.15
8371226999; LUIS SANTANA MACEDO;NUTRICIONISTA;E;Saúde;2;0;Sem informação;26239;Centro Estudantil do Pará;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;27/06/1994;;PA;1;Ativo;Feminino;16745.36;0
7331457199; DANELON SCHAIDHAVER;GEOLOGO;E;Pedagógico;2;0;Sem informação;26239;Centro Estudantil do Pará;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;16/11/2017;;PA;1;Ativo;Feminino;7649.04;779
7960553099; RUI DE SOUZA CAMPOS;PSICOLOGO;E;Saúde;1;0;Sem informação;26242;Centro Estudantil de Pernambuco;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;25/09/2017;;PE;1;Ativo;Masculino;6333.6;458
7211073199; JOSE DE SOUSA FILHO;PSICOLOGO;E;Saúde;2;0;Sem informação;26231;Centro Estudantil de Alagoas;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;26/12/2003;;AL;1;Ativo;Masculino;11875.22;577.28
8391534899; FABIO ARAUJO SOARES;PSICOLOGO;E;Saúde;2;0;Sem informação;26280;Centro Estudantil de São Carlos;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;16/03/2005;;SP;1;Ativo;Masc.;12030.55;899.68
7722386199; EVANGELISTA DA CRUZ;RELACOES PUBLICAS;E;Serviços;1;0;Sem informação;26244;Centro Estudantil do Rio Grande do Sul;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;24/07/2014;;RS;1;Ativo;Feminino;7103.91;779
8571242399; DE MENDONCA SANCTOS;NUTRICIONISTA;E;Saúde;3;0;Sem informação;26246;Centro Estudantil de Santa Catarina;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;08/01/2004;;SC;1;Ativo;Feminino;10718.82;997.98
8312352299; BARBOZA DE OLIVEIRA;PSICOLOGO;E;Saúde;1;0;Sem informação;26237;Centro Estudantil de Juiz de Fora;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;31/07/2014;;MG;1;Ativo;Masc.;5464.55;585.66
8561433199; DIAS DA PAZ ALMEIDA;PSICOLOGO;E;Saúde;3;0;Sem informação;26239;Centro Estudantil do Pará;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;10/05/2004;;PA;1;Ativo;Masculino;15935.03;0
7221972399; FACUNDO RENDA FILHO;AUDITOR;E;Administrativo;3;0;Sem informação;26253;Centro Estudantil Rural da Amazônia;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;30/04/2014;;PA;1;Ativo;Masc.;7103.91;458
7402401699; MARTINS DE OLIVEIRA;PEDAGOGO;E;Pedagógico;3;0;Sem informação;26351;Centro Estudantil do Recôncavo da Bahia;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;29/10/2010;;BA;1;Ativo;Masc.;8278.66;676.98
7492425799; ALVES DO NASCIMENTO;PSICOLOGO;E;Saúde;2;0;Sem informação;26236;Centro Estudantil Fluminense;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;22/07/2019;;RJ;1;Ativo;Masculino;6602.43;458
7981838899; HENRIQUE SOUSA LUIZ;MATEMATICO;E;Pedagógico;3;0;Sem informação;26273;Centro Estudantil do Rio Grande;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;30/12/2009;;RS;1;Ativo;Masc.;9316.32;897.74
7601245699; DE SOUZA BARTOLOMEU;TEC EM SEGURANCA DO TRABALHO;D;Serviços;2;0;Sem informação;26245;Centro Estudantil do Rio de Janeiro;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;28/01/2015;08/03/2019;RJ;2;Desligado;Masculino;7994.33;0
8360691399; MARIA DA SILVA LEAL;AUDITOR;E;Administrativo;1;0;Sem informação;26239;Centro Estudantil do Pará;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;23/02/2014;;PA;1;Ativo;Feminino;8306.11;779
7920585199; SANTOS DOS PRAZERES;ECONOMISTA;E;Administrativo;2;0;Sem informação;26233;Centro Estudantil do Ceará;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;31/07/2017;;CE;1;Ativo;Masc.;5434.85;595.88
7451761599; CORCINO DE CARVALHO;ECONOMISTA;E;Administrativo;2;0;Sem informação;26276;Centro Estudantil de Mato Grosso;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;21/05/2015;01/10/2018;MT;2;Desligado;Masc.;3308.93;0
7791503599; FERNANDES DAMASCENO;NUTRICIONISTA;E;Saúde;3;0;Sem informação;26245;Centro Estudantil do Rio de Janeiro;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;13/09/2006;;RJ;1;Ativo;Masc.;10316.48;714.59
7482227099; DOS SANTOS SANTIAGO;QUIMICO;E;Pedagógico;2;0;Sem informação;26280;Centro Estudantil de São Carlos;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;30/12/2009;;SP;1;Ativo;Masc.;10726.03;768.46
7602498599; FRANCISCA DE CASTRO;PSICOLOGO;E;Saúde;2;0;Sem informação;26242;Centro Estudantil de Pernambuco;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;25/05/2017;;PE;1;Ativo;Masculino;7405.44;580.02
8030947899; DA CONCEICAO BINOTI;ECONOMISTA;E;Administrativo;2;0;Sem informação;26240;Centro Estudantil da Paraíba;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;07/01/2015;;PB;1;Ativo;Feminino;8278.66;575.42
8621337099; DE OLIVEIRA FEITOSA;TEC EM SEGURANCA DO TRABALHO;D;Serviços;3;0;Sem informação;26245;Centro Estudantil do Rio de Janeiro;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;10/04/1987;;RJ;1;Ativo;Masc.;10598.64;716.23
8622182499; OLIVEIRA DOS SANTOS;QUIMICO;E;Pedagógico;2;0;Sem informação;26262;Centro Estudantil de São Paulo;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;25/02/2015;;SP;1;Ativo;Masculino;9782.71;913.48
8272086999; KELI MARRA DE SOUZA;TEC EM SEGURANCA DO TRABALHO;D;Serviços;2;0;Sem informação;26263;Centro Estudantil de Lavras;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;25/02/2014;;MG;1;Ativo;Feminino;4157.95;574.38
8211854399; MENDONCA ALEXOPULOS;PSICOLOGO;E;Saúde;2;0;Sem informação;26255;Centro Estudantil dos Vales do Jequiti;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;01/07/2008;;MG;1;Ativo;Feminino;9679.66;568.73
7350999499; COSTA PEREIRA SOUZA;GEOLOGO;E;Pedagógico;3;0;Sem informação;26233;Centro Estudantil do Ceará;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;30/11/1993;;CE;1;Ativo;Masc.;16711.69;582.33
8451760999; MARIA SULIANO BRITO;TEC EM SEGURANCA DO TRABALHO;D;Serviços;1;0;Sem informação;26245;Centro Estudantil do Rio de Janeiro;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;26/06/2018;;RJ;1;Ativo;Masc.;3434.01;1238.72
7280642499; ELIAS RIBEIRO FILHO;ENGENHEIRO DE SEG DO TRABALHO;E;Engenharia;2;0;Sem informação;26440;Centro Estudantil da Fronteira Sul;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;13/03/2017;;SC;1;Ativo;Masculino;14872;458
7891122299; LUIZ SILVA FERREIRA;QUIMICO;E;Pedagógico;1;0;Sem informação;26241;Centro Estudantil do Paraná;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;19/11/2020;;PR;1;Ativo;Feminino;7316.15;458
7871713799; ERNESTO POLI JUNIOR;PSICOLOGO;E;Saúde;3;0;Sem informação;26262;Centro Estudantil de São Paulo;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;06/01/2010;;SP;1;Ativo;Masc.;9316.32;575.42
7730856499; PEREIRA DE CARVALHO;TEC EM SEGURANCA DO TRABALHO;D;Serviços;2;0;Sem informação;26242;Centro Estudantil de Pernambuco;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;23/10/2015;;PE;1;Ativo;Masc.;3847.96;1417.17
7321564599; RODRIGUES ATHANAZIO;PEDAGOGO;E;Pedagógico;3;0;Sem informação;26242;Centro Estudantil de Pernambuco;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;20/08/2013;;PE;1;Ativo;Masc.;8306.11;575.42
8021360499; FERREIRA DE ANDRADE;PEDAGOGO;E;Pedagógico;2;0;Sem informação;26279;Centro Estudantil do Piauí;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;20/06/2016;16/03/2021;PI;5;Desligado;Masc.;4814.56;0
7351402199; FERNANDES RODRIGUES;ENGENHEIRO DE SEG DO TRABALHO;E;Engenharia;1;0;Sem informação;26260;Centro Estudantil de Alfenas;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;24/01/2011;;MG;1;Ativo;Masculino;8966.61;676.98
7782153499; DAGOBERTO FILGUEIRA;AUDITOR;E;Administrativo;3;0;Sem informação;26238;Centro Estudantil de Minas Gerais;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;28/08/2008;;MG;1;Ativo;Masculino;8278.66;575.42
8520553899; JOSE DA CRUZ JUNIOR;PEDAGOGO;E;Pedagógico;2;0;Sem informação;26240;Centro Estudantil da Paraíba;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;18/11/2016;11/03/2018;PB;2;Desligado;Masc.;16322.83;713.23
8501643299; BRANDAO DE ASSUNCAO;PSICOLOGO;E;Saúde;1;0;Sem informação;26255;Centro Estudantil dos Vales do Jequiti;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;01/07/2008;;MG;1;Ativo;Masculino;9679.66;458
8581825599; DE ALENCAR FRANZINI;PSICOLOGO;E;Saúde;1;0;Sem informação;26258;Centro Tecnológica Federal do Paraná;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;30/12/2009;;PR;1;Ativo;Masculino;10323.4;991.29
7361833399; DE SANTANA DA SILVA;ECONOMISTA;E;Administrativo;3;0;Sem informação;26237;Centro Estudantil de Juiz de Fora;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;21/03/2012;;MG;1;Ativo;Masculino;11144.35;575.42
